248,202,"Sat, Oct 14",17,45
235,248,"Thu, Oct 19",42,38
248,58,"Sat, Oct 28",28,24
151,248,"Sat, Nov 4",27,52
2426,2226,"Fri, Sept 1",42,19
2655,2426,"Sat, Sept 9",21,23
2132,2426,"Sat, Sept 23",32,42
2426,202,"Sat, Sept 30",31,21
2005,2426,"Sat, Oct 7",45,48
2426,235,"Sat, Oct 14",27,30
2116,2426,"Sat, Oct 21",31,21
2426,218,"Thu, Nov 2",26,34
2567,2426,"Sat, Nov 11",40,43
2617,2567,"Sat, Sept 2",14,58
249,2567,"Sat, Sept 9",32,54
2567,2628,"Sat, Sept 16",36,56
2032,2567,"Sat, Sept 23",21,44
41,2567,"Sat, Sept 30",28,49
2567,248,"Sat, Oct 7",22,35
2567,2132,"Sat, Oct 21",31,28 OT
202,2567,"Fri, Oct 27",34,38
2116,2567,"Sat, Nov 4",31,24
2567,2426,"Sat, Nov 11",40,43
2755,2655,"Sat, Sept 2",14,43
2655,2426,"Sat, Sept 9",21,23
2655,201,"Sat, Sept 16",14,56
349,2655,"Sat, Sept 23",17,21
202,2655,"Sat, Oct 7",28,62
2655,2229,"Sat, Oct 14",10,23
58,2655,"Sat, Oct 21",34,28
2655,235,"Fri, Oct 27",26,56
2132,2655,"Sat, Nov 4",17,16
2655,151,"Sat, Nov 11",31,24 OT
202,197,"Thu, Aug 31",24,59
309,202,"Sat, Sept 9",42,66
202,2649,"Sat, Sept 16",51,54
167,202,"Sat, Sept 23",16,13
2426,202,"Sat, Sept 30",31,21
202,2655,"Sat, Oct 7",28,62
248,202,"Sat, Oct 14",17,45
202,41,"Sat, Oct 21",14,20
202,2567,"Fri, Oct 27",34,38
235,202,"Fri, Nov 3",41,14
2309,228,"Sat, Sept 2",3,56
2,228,"Sat, Sept 9",6,14
228,97,"Sat, Sept 16",47,21
103,228,"Sat, Sept 23",7,34
228,259,"Sat, Sept 30",31,17
154,228,"Sat, Oct 7",14,28
228,183,"Fri, Oct 13",24,27
59,228,"Sat, Oct 28",10,24
228,152,"Sat, Nov 4",38,31
52,228,"Sat, Nov 11",14,31
2579,152,"Sat, Sept 2",35,28
276,152,"Sat, Sept 9",20,37
231,152,"Sat, Sept 16",16,49
152,52,"Sat, Sept 23",27,21
183,152,"Sat, Sept 30",25,33
97,152,"Thu, Oct 5",25,39
152,221,"Sat, Oct 14",35,17
152,87,"Sat, Oct 28",14,35
228,152,"Sat, Nov 4",38,31
152,103,"Sat, Nov 11",17,14
2506,154,"Thu, Aug 31",7,51
154,103,"Sat, Sept 9",34,10
328,154,"Sat, Sept 16",10,46
154,2026,"Sat, Sept 23",20,19
52,154,"Sat, Sept 30",26,19
154,228,"Sat, Oct 7",14,28
154,59,"Sat, Oct 21",24,38
97,154,"Sat, Oct 28",32,42
154,87,"Sat, Nov 4",37,48
154,183,"Sat, Nov 11",64,43
103,2459,"Fri, Sept 1",23,20
154,103,"Sat, Sept 9",34,10
87,103,"Sat, Sept 16",49,20
103,228,"Sat, Sept 23",7,34
2117,103,"Sat, Sept 30",8,28
259,103,"Sat, Oct 7",23,10
103,97,"Sat, Oct 14",45,42
103,258,"Sat, Oct 21",41,10
52,103,"Fri, Oct 27",3,35
152,103,"Sat, Nov 11",17,14
2509,97,"Sat, Sept 2",28,35
97,153,"Sat, Sept 9",47,35
228,97,"Sat, Sept 16",47,21
2309,97,"Sat, Sept 23",3,42
93,97,"Sat, Sept 30",10,55
97,152,"Thu, Oct 5",25,39
103,97,"Sat, Oct 14",45,42
97,52,"Sat, Oct 21",31,28
97,154,"Sat, Oct 28",32,42
258,97,"Sat, Nov 11",21,38
333,52,"Sat, Sept 2",24,7
152,52,"Sat, Sept 23",27,21
52,154,"Sat, Sept 30",26,19
2390,52,"Sat, Oct 7",24,20
52,150,"Sat, Oct 14",17,10
97,52,"Sat, Oct 21",31,28
52,103,"Fri, Oct 27",3,35
183,52,"Sat, Nov 4",24,27
52,228,"Sat, Nov 11",14,31
2115,183,"Fri, Sept 1",7,50
2393,183,"Sat, Sept 9",30,23
2117,183,"Sat, Sept 16",17,41
183,99,"Sat, Sept 23",26,35
183,152,"Sat, Sept 30",25,33
221,183,"Sat, Oct 7",24,27
228,183,"Fri, Oct 13",24,27
183,2390,"Sat, Oct 21",19,27
183,52,"Sat, Nov 4",24,27
154,183,"Sat, Nov 11",64,43
2065,2390,"Sat, Sept 2",13,41
2649,2390,"Sat, Sept 23",30,52
2390,150,"Fri, Sept 29",31,6
2390,52,"Sat, Oct 7",24,20
59,2390,"Sat, Oct 14",24,25
183,2390,"Sat, Oct 21",19,27
2390,153,"Sat, Oct 28",24,19
259,2390,"Sat, Nov 4",10,28
87,2390,"Sat, Nov 11",8,41
2633,59,"Mon, Sept 4",42,41 2OT
55,59,"Sat, Sept 9",10,37
221,59,"Sat, Sept 23",17,35
153,59,"Sat, Sept 30",7,33
59,2390,"Sat, Oct 14",24,25
154,59,"Sat, Oct 21",24,38
59,228,"Sat, Oct 28",10,24
59,258,"Sat, Nov 4",36,40
259,59,"Sat, Nov 11",22,28
277,259,"Sun, Sept 3",24,31
48,259,"Sat, Sept 9",0,27
259,151,"Sat, Sept 16",64,17
295,259,"Sat, Sept 23",0,38
228,259,"Sat, Sept 30",31,17
259,103,"Sat, Oct 7",23,10
153,259,"Sat, Oct 21",7,59
150,259,"Sat, Oct 28",3,24
259,2390,"Sat, Nov 4",10,28
259,59,"Sat, Nov 11",22,28
2729,258,"Sat, Sept 2",10,28
84,258,"Sat, Sept 9",34,17
41,258,"Sat, Sept 16",18,38
258,68,"Fri, Sept 22",42,23
150,258,"Sat, Oct 7",21,28
258,153,"Sat, Oct 14",20,14
103,258,"Sat, Oct 21",41,10
258,221,"Sat, Oct 28",14,31
59,258,"Sat, Nov 4",36,40
258,97,"Sat, Nov 11",21,38
2754,221,"Sat, Sept 2",21 OT,28
221,213,"Sat, Sept 9",14,33
197,221,"Sat, Sept 16",59,21
221,59,"Sat, Sept 23",17,35
242,221,"Sat, Sept 30",10,42
221,183,"Sat, Oct 7",24,27
152,221,"Sat, Oct 14",35,17
221,150,"Sat, Oct 21",24,17
258,221,"Sat, Oct 28",14,31
153,221,"Thu, Nov 9",34,31
2428,150,"Sat, Sept 2",7,60
77,150,"Sat, Sept 9",17,41
239,150,"Sat, Sept 16",20,34
150,153,"Sat, Sept 23",27,17
2390,150,"Fri, Sept 29",31,6
150,258,"Sat, Oct 7",21,28
52,150,"Sat, Oct 14",17,10
221,150,"Sat, Oct 21",24,17
150,259,"Sat, Oct 28",3,24
150,349,"Sat, Nov 11",16,21
25,153,"Sat, Sept 2",35,30
97,153,"Sat, Sept 9",47,35
153,295,"Sat, Sept 16",53,23
150,153,"Sat, Sept 23",27,17
153,59,"Sat, Sept 30",7,33
87,153,"Sat, Oct 7",33,10
258,153,"Sat, Oct 14",20,14
153,259,"Sat, Oct 21",7,59
2390,153,"Sat, Oct 28",24,19
153,221,"Thu, Nov 9",34,31
2309,228,"Sat, Sept 2",3,56
2,228,"Sat, Sept 9",6,14
228,97,"Sat, Sept 16",47,21
103,228,"Sat, Sept 23",7,34
228,259,"Sat, Sept 30",31,17
154,228,"Sat, Oct 7",14,28
228,183,"Fri, Oct 13",24,27
59,228,"Sat, Oct 28",10,24
228,152,"Sat, Nov 4",38,31
52,228,"Sat, Nov 11",14,31
2579,152,"Sat, Sept 2",35,28
276,152,"Sat, Sept 9",20,37
231,152,"Sat, Sept 16",16,49
152,52,"Sat, Sept 23",27,21
183,152,"Sat, Sept 30",25,33
97,152,"Thu, Oct 5",25,39
152,221,"Sat, Oct 14",35,17
152,87,"Sat, Oct 28",14,35
228,152,"Sat, Nov 4",38,31
152,103,"Sat, Nov 11",17,14
2506,154,"Thu, Aug 31",7,51
154,103,"Sat, Sept 9",34,10
328,154,"Sat, Sept 16",10,46
154,2026,"Sat, Sept 23",20,19
52,154,"Sat, Sept 30",26,19
154,228,"Sat, Oct 7",14,28
154,59,"Sat, Oct 21",24,38
97,154,"Sat, Oct 28",32,42
154,87,"Sat, Nov 4",37,48
154,183,"Sat, Nov 11",64,43
103,2459,"Fri, Sept 1",23,20
154,103,"Sat, Sept 9",34,10
87,103,"Sat, Sept 16",49,20
103,228,"Sat, Sept 23",7,34
2117,103,"Sat, Sept 30",8,28
259,103,"Sat, Oct 7",23,10
103,97,"Sat, Oct 14",45,42
103,258,"Sat, Oct 21",41,10
52,103,"Fri, Oct 27",3,35
152,103,"Sat, Nov 11",17,14
2509,97,"Sat, Sept 2",28,35
97,153,"Sat, Sept 9",47,35
228,97,"Sat, Sept 16",47,21
2309,97,"Sat, Sept 23",3,42
93,97,"Sat, Sept 30",10,55
97,152,"Thu, Oct 5",25,39
103,97,"Sat, Oct 14",45,42
97,52,"Sat, Oct 21",31,28
97,154,"Sat, Oct 28",32,42
258,97,"Sat, Nov 11",21,38
333,52,"Sat, Sept 2",24,7
152,52,"Sat, Sept 23",27,21
52,154,"Sat, Sept 30",26,19
2390,52,"Sat, Oct 7",24,20
52,150,"Sat, Oct 14",17,10
97,52,"Sat, Oct 21",31,28
52,103,"Fri, Oct 27",3,35
183,52,"Sat, Nov 4",24,27
52,228,"Sat, Nov 11",14,31
2115,183,"Fri, Sept 1",7,50
2393,183,"Sat, Sept 9",30,23
2117,183,"Sat, Sept 16",17,41
183,99,"Sat, Sept 23",26,35
183,152,"Sat, Sept 30",25,33
221,183,"Sat, Oct 7",24,27
228,183,"Fri, Oct 13",24,27
183,2390,"Sat, Oct 21",19,27
183,52,"Sat, Nov 4",24,27
154,183,"Sat, Nov 11",64,43
2065,2390,"Sat, Sept 2",13,41
2649,2390,"Sat, Sept 23",30,52
2390,150,"Fri, Sept 29",31,6
2390,52,"Sat, Oct 7",24,20
59,2390,"Sat, Oct 14",24,25
183,2390,"Sat, Oct 21",19,27
2390,153,"Sat, Oct 28",24,19
259,2390,"Sat, Nov 4",10,28
87,2390,"Sat, Nov 11",8,41
2633,59,"Mon, Sept 4",42,41 2OT
55,59,"Sat, Sept 9",10,37
221,59,"Sat, Sept 23",17,35
153,59,"Sat, Sept 30",7,33
59,2390,"Sat, Oct 14",24,25
154,59,"Sat, Oct 21",24,38
59,228,"Sat, Oct 28",10,24
59,258,"Sat, Nov 4",36,40
259,59,"Sat, Nov 11",22,28
277,259,"Sun, Sept 3",24,31
48,259,"Sat, Sept 9",0,27
259,151,"Sat, Sept 16",64,17
295,259,"Sat, Sept 23",0,38
228,259,"Sat, Sept 30",31,17
259,103,"Sat, Oct 7",23,10
153,259,"Sat, Oct 21",7,59
150,259,"Sat, Oct 28",3,24
259,2390,"Sat, Nov 4",10,28
259,59,"Sat, Nov 11",22,28
2729,258,"Sat, Sept 2",10,28
84,258,"Sat, Sept 9",34,17
41,258,"Sat, Sept 16",18,38
258,68,"Fri, Sept 22",42,23
150,258,"Sat, Oct 7",21,28
258,153,"Sat, Oct 14",20,14
103,258,"Sat, Oct 21",41,10
258,221,"Sat, Oct 28",14,31
59,258,"Sat, Nov 4",36,40
258,97,"Sat, Nov 11",21,38
2754,221,"Sat, Sept 2",21 OT,28
221,213,"Sat, Sept 9",14,33
197,221,"Sat, Sept 16",59,21
221,59,"Sat, Sept 23",17,35
242,221,"Sat, Sept 30",10,42
221,183,"Sat, Oct 7",24,27
152,221,"Sat, Oct 14",35,17
221,150,"Sat, Oct 21",24,17
258,221,"Sat, Oct 28",14,31
153,221,"Thu, Nov 9",34,31
2428,150,"Sat, Sept 2",7,60
77,150,"Sat, Sept 9",17,41
239,150,"Sat, Sept 16",20,34
150,153,"Sat, Sept 23",27,17
2390,150,"Fri, Sept 29",31,6
150,258,"Sat, Oct 7",21,28
52,150,"Sat, Oct 14",17,10
221,150,"Sat, Oct 21",24,17
150,259,"Sat, Oct 28",3,24
150,349,"Sat, Nov 11",16,21
25,153,"Sat, Sept 2",35,30
97,153,"Sat, Sept 9",47,35
153,295,"Sat, Sept 16",53,23
150,153,"Sat, Sept 23",27,17
153,59,"Sat, Sept 30",7,33
87,153,"Sat, Oct 7",33,10
258,153,"Sat, Oct 14",20,14
153,259,"Sat, Oct 21",7,59
2390,153,"Sat, Oct 28",24,19
153,221,"Thu, Nov 9",34,31
2638,201,"Sat, Sept 2",7,56
201,194,"Sat, Sept 9",31,16
2655,201,"Sat, Sept 16",14,56
201,239,"Sat, Sept 23",49,41
66,201,"Sat, Oct 7",38,31
251,201,"Sat, Oct 14",24,29
201,2306,"Sat, Oct 21",42,35
2641,201,"Sat, Oct 28",27,49
201,197,"Sat, Nov 4",62,52
2628,201,"Sat, Nov 11",20,38
2296,2628,"Sat, Sept 2",0,63
2628,8,"Sat, Sept 9",28,7
2567,2628,"Sat, Sept 16",36,56
2628,197,"Sat, Sept 23",44,31
277,2628,"Sat, Oct 7",24,31
2628,2306,"Sat, Oct 14",26,6
2305,2628,"Sat, Oct 21",0,43
2628,66,"Sat, Oct 28",7,14
251,2628,"Sat, Nov 4",7,24
2628,201,"Sat, Nov 11",20,38
202,197,"Thu, Aug 31",24,59
197,6,"Fri, Sept 8",44,7
197,221,"Sat, Sept 16",59,21
2628,197,"Sat, Sept 23",44,31
197,2641,"Sat, Sept 30",41,34
239,197,"Sat, Oct 14",16,59
197,251,"Sat, Oct 21",13,10 OT
197,277,"Sat, Oct 28",50,39
201,197,"Sat, Nov 4",62,52
197,66,"Sat, Nov 11",49,42
259,277,"Sun, Sept 3",31,24
151,277,"Sat, Sept 9",20,56
2169,277,"Sat, Sept 16",16,59
277,2305,"Sat, Sept 23",56,34
277,2628,"Sat, Oct 7",24,31
2641,277,"Sat, Oct 14",35,46
277,239,"Sat, Oct 21",38,36
197,277,"Sat, Oct 28",50,39
66,277,"Sat, Nov 4",16,20
277,2306,"Sat, Nov 11",28,23
120,251,"Sat, Sept 2",51,41
23,251,"Sat, Sept 9",0,56
251,30,"Sat, Sept 16",24 2OT,27
251,66,"Thu, Sept 28",17,7
2306,251,"Sat, Oct 7",34 2OT,40
201,251,"Sat, Oct 14",29,24
197,251,"Sat, Oct 21",13,10 OT
251,239,"Sat, Oct 28",38,7
251,2628,"Sat, Nov 4",7,24
2305,251,"Sat, Nov 11",27,42
2460,66,"Sat, Sept 2",24,42
2294,66,"Sat, Sept 9",44,41 OT
66,2006,"Sat, Sept 16",41,14
251,66,"Thu, Sept 28",17,7
66,201,"Sat, Oct 7",38,31
2305,66,"Sat, Oct 14",0,45
66,2641,"Sat, Oct 21",31,13
2628,66,"Sat, Oct 28",7,14
66,277,"Sat, Nov 4",16,20
197,66,"Sat, Nov 11",49,42
2110,2306,"Sat, Sept 2",19,55
2429,2306,"Sat, Sept 9",7,55
2306,238,"Sat, Sept 16",7,14
239,2306,"Sat, Sept 30",20,33
2306,251,"Sat, Oct 7",34 2OT,40
2628,2306,"Sat, Oct 14",26,6
201,2306,"Sat, Oct 21",42,35
2306,2305,"Sat, Oct 28",30,20
2306,2641,"Sat, Nov 4",42,35 OT
277,2306,"Sat, Nov 11",28,23
331,2641,"Sat, Sept 2",10,56
9,2641,"Sat, Sept 16",45,52
2641,248,"Sat, Sept 23",27,24
197,2641,"Sat, Sept 30",41,34
2641,2305,"Sat, Oct 7",65,19
2641,277,"Sat, Oct 14",35,46
66,2641,"Sat, Oct 21",31,13
2641,201,"Sat, Oct 28",27,49
2306,2641,"Sat, Nov 4",42,35 OT
239,2641,"Sat, Nov 11",24,38
2335,239,"Sat, Sept 2",48,45
2636,239,"Sat, Sept 9",17,10
239,150,"Sat, Sept 16",20,34
201,239,"Sat, Sept 23",49,41
239,2306,"Sat, Sept 30",20,33
239,197,"Sat, Oct 14",16,59
277,239,"Sat, Oct 21",38,36
251,239,"Sat, Oct 28",38,7
239,2305,"Sat, Nov 4",38,9
2641,239,"Sat, Nov 11",38,24
2546,2305,"Sat, Sept 2",16,38
2117,2305,"Sat, Sept 9",45,27
2305,195,"Sat, Sept 16",30,42
277,2305,"Sat, Sept 23",56,34
2641,2305,"Sat, Oct 7",65,19
2305,66,"Sat, Oct 14",0,45
2305,2628,"Sat, Oct 21",0,43
2306,2305,"Sat, Oct 28",30,20
239,2305,"Sat, Nov 4",38,9
2305,251,"Sat, Nov 11",27,42
2638,201,"Sat, Sept 2",7,56
201,194,"Sat, Sept 9",31,16
2655,201,"Sat, Sept 16",14,56
201,239,"Sat, Sept 23",49,41
66,201,"Sat, Oct 7",38,31
251,201,"Sat, Oct 14",24,29
201,2306,"Sat, Oct 21",42,35
2641,201,"Sat, Oct 28",27,49
201,197,"Sat, Nov 4",62,52
2628,201,"Sat, Nov 11",20,38
2296,2628,"Sat, Sept 2",0,63
2628,8,"Sat, Sept 9",28,7
2567,2628,"Sat, Sept 16",36,56
2628,197,"Sat, Sept 23",44,31
277,2628,"Sat, Oct 7",24,31
2628,2306,"Sat, Oct 14",26,6
2305,2628,"Sat, Oct 21",0,43
2628,66,"Sat, Oct 28",7,14
251,2628,"Sat, Nov 4",7,24
2628,201,"Sat, Nov 11",20,38
202,197,"Thu, Aug 31",24,59
197,6,"Fri, Sept 8",44,7
197,221,"Sat, Sept 16",59,21
2628,197,"Sat, Sept 23",44,31
197,2641,"Sat, Sept 30",41,34
239,197,"Sat, Oct 14",16,59
197,251,"Sat, Oct 21",13,10 OT
197,277,"Sat, Oct 28",50,39
201,197,"Sat, Nov 4",62,52
197,66,"Sat, Nov 11",49,42
259,277,"Sun, Sept 3",31,24
151,277,"Sat, Sept 9",20,56
2169,277,"Sat, Sept 16",16,59
277,2305,"Sat, Sept 23",56,34
277,2628,"Sat, Oct 7",24,31
2641,277,"Sat, Oct 14",35,46
277,239,"Sat, Oct 21",38,36
197,277,"Sat, Oct 28",50,39
66,277,"Sat, Nov 4",16,20
277,2306,"Sat, Nov 11",28,23
120,251,"Sat, Sept 2",51,41
23,251,"Sat, Sept 9",0,56
251,30,"Sat, Sept 16",24 2OT,27
251,66,"Thu, Sept 28",17,7
2306,251,"Sat, Oct 7",34 2OT,40
201,251,"Sat, Oct 14",29,24
197,251,"Sat, Oct 21",13,10 OT
251,239,"Sat, Oct 28",38,7
251,2628,"Sat, Nov 4",7,24
2305,251,"Sat, Nov 11",27,42
2460,66,"Sat, Sept 2",24,42
2294,66,"Sat, Sept 9",44,41 OT
66,2006,"Sat, Sept 16",41,14
251,66,"Thu, Sept 28",17,7
66,201,"Sat, Oct 7",38,31
2305,66,"Sat, Oct 14",0,45
66,2641,"Sat, Oct 21",31,13
2628,66,"Sat, Oct 28",7,14
66,277,"Sat, Nov 4",16,20
197,66,"Sat, Nov 11",49,42
2110,2306,"Sat, Sept 2",19,55
2429,2306,"Sat, Sept 9",7,55
2306,238,"Sat, Sept 16",7,14
239,2306,"Sat, Sept 30",20,33
2306,251,"Sat, Oct 7",34 2OT,40
2628,2306,"Sat, Oct 14",26,6
201,2306,"Sat, Oct 21",42,35
2306,2305,"Sat, Oct 28",30,20
2306,2641,"Sat, Nov 4",42,35 OT
277,2306,"Sat, Nov 11",28,23
331,2641,"Sat, Sept 2",10,56
9,2641,"Sat, Sept 16",45,52
2641,248,"Sat, Sept 23",27,24
197,2641,"Sat, Sept 30",41,34
2641,2305,"Sat, Oct 7",65,19
2641,277,"Sat, Oct 14",35,46
66,2641,"Sat, Oct 21",31,13
2641,201,"Sat, Oct 28",27,49
2306,2641,"Sat, Nov 4",42,35 OT
239,2641,"Sat, Nov 11",24,38
2335,239,"Sat, Sept 2",48,45
2636,239,"Sat, Sept 9",17,10
239,150,"Sat, Sept 16",20,34
201,239,"Sat, Sept 23",49,41
239,2306,"Sat, Sept 30",20,33
239,197,"Sat, Oct 14",16,59
277,239,"Sat, Oct 21",38,36
251,239,"Sat, Oct 28",38,7
239,2305,"Sat, Nov 4",38,9
2641,239,"Sat, Nov 11",38,24
2546,2305,"Sat, Sept 2",16,38
2117,2305,"Sat, Sept 9",45,27
2305,195,"Sat, Sept 16",30,42
277,2305,"Sat, Sept 23",56,34
2641,2305,"Sat, Oct 7",65,19
2305,66,"Sat, Oct 14",0,45
2305,2628,"Sat, Oct 21",0,43
2306,2305,"Sat, Oct 28",30,20
239,2305,"Sat, Nov 4",38,9
2305,251,"Sat, Nov 11",27,42
194,84,"Thu, Aug 31",49,21
201,194,"Sat, Sept 9",31,16
349,194,"Sat, Sept 16",7,38
2439,194,"Sat, Sept 23",21,54
194,164,"Sat, Sept 30",56,0
